Continent,Entity,Coastal population,Mismanaged plastic waste (tonnes),Total population (Gapminder)
Europe,Albania,2530533,29705,3204284
Africa,Algeria,16556580,520555,35468208
Africa,Angola,3790041,62528,19081912
North America,Anguilla,14561,52,15358
North America,Antigua and Barbuda,66843,1253,88710
South America,Argentina,16449245,157777,40412376
South America,Aruba,137910,372,107488
Oceania,Australia,17235954,13889,22268384
North America,Bahamas,341145,1333,342877
Asia,Bahrain,743574,4376,1261835
Asia,Bangladesh,70874124,787327,148692131
North America,Barbados,276784,3483,273331
Europe,Belgium,4747957,2743,10712066
North America,Belize,202429,3892,311627
Africa,Benin,3235418,43015,8849892
North America,Bermuda,66966,123,64941
Europe,Bosnia and Herzegovina,585582,12955,3760149
South America,Brazil,74696771,471404,194946470
North America,British Virgin Islands,29674,55,23245
Asia,Brunei,359871,93,398920
Europe,Bulgaria,1002695,18739,7494332
Asia,Cambodia,1391254,29686,14138255
Africa,Cameroon,1986723,27713,19598889
North America,Canada,11846863,7959,34016593
Africa,Cape Verde,522245,9347,495999
North America,Cayman Islands,51864,95,56230
Europe,Channel Islands,153352,281,
South America,Chile,5621550,21754,17113688
Asia,China,262892387,8819717,1341335152
Asia,Christmas Island,1402,3,1400
Asia,Cocos Islands,596,1,596
South America,Colombia,7498563,92173,46294841
Africa,Comoros,938595,58032,734750
Africa,Congo,847807,16766,4042899
Oceania,Cook Islands,20934,416,20288
North America,Costa Rica,2479298,42090,4658887
Africa,Cote d'Ivoire,6230583,194558,19737800
Europe,Croatia,1602782,16461,4403330
North America,Cuba,11333471,90630,11257979
South America,Curacao,143784,268,
Europe,Cyprus,840556,1821,1103647
Africa,Democratic Republic of Congo,1076056,15208,65965795
Europe,Denmark,5376386,1791,5550142
Africa,Djibouti,621744,17324,888716
North America,Dominica,70138,783,67757
North America,Dominican Republic,8232586,118226,9927320
South America,Ecuador,6400048,109383,14464739
Africa,Egypt,21750943,967012,81121077
North America,El Salvador,6410726,118732,6192993
Africa,Equatorial Guinea,351600,5977,700401
Africa,Eritrea,1266222,16259,5253676
Europe,Estonia,878021,5979,1341140
Europe,Faeroe Islands,50554,93,48708
South America,Falkland Islands,2602,5,
Oceania,Fiji,896145,49257,860623
Europe,Finland,2927674,4985,5364546
Europe,France,17287280,24109,62787427
South America,French Guiana,167631,2360,231151
Oceania,French Polynesia,270618,1286,270764
Africa,Gabon,862328,6087,1505463
Africa,Gambia,1324214,19616,1728394
Europe,Georgia,1124249,14472,4352244
Europe,Germany,8837035,31239,82302465
Africa,Ghana,7727702,91571,24391823
Europe,Gibraltar,33483,65,29244
Europe,Greece,9794702,14229,11359346
North America,Greenland,57068,105,57296
North America,Grenada,96121,2248,104487
North America,Guadeloupe,466166,6564,460666
Oceania,Guam,190809,393,179896
North America,Guatemala,2392442,91563,14388929
Europe,Guernsey,56289,103,
Africa,Guinea,1996496,18514,9981590
Africa,Guinea-Bissau,1208106,20240,1515224
South America,Guyana,513235,42002,754493
North America,Haiti,9155693,147389,9993247
North America,Honduras,3324144,95638,7600524
Asia,Hong Kong,7573074,28512,7053189
Europe,Iceland,292708,598,320136
Asia,India,187493433,599819,1224614327
Asia,Indonesia,187223476,3216856,239870937
Asia,Iran,9099695,247403,73973630
Asia,Iraq,639228,15563,31671591
Europe,Ireland,3749576,11710,4469900
Asia,Israel,6677810,19007,7418400
Europe,Italy,33822532,32761,60550848
North America,Jamaica,2820558,10019,2741052
Asia,Japan,115228891,143121,126535920
Asia,Jordan,55392,1737,6187227
Africa,Kenya,2729945,22658,40512682
Oceania,Kiribati,94487,3045,99546
Asia,Kuwait,2293604,11489,2736732
Europe,Latvia,1432078,10284,2252060
Asia,Lebanon,3890871,47815,4227597
Africa,Liberia,2148271,56728,3994122
Africa,Libya,4050128,52779,6355112
Europe,Lithuania,443894,3479,3323611
Asia,Macao,257911,698,543656
Africa,Madagascar,7062413,34522,20713819
Asia,Malaysia,22890252,936818,28401017
Asia,Maldives,392567,31469,315885
Europe,Malta,404707,2620,416515
Oceania,Marshall Islands,58086,3187,54038
North America,Martinique,402257,749,405814
Africa,Mauritania,1005481,13854,3459773
Africa,Mauritius,1255952,56051,1299172
North America,Mexico,22647771,101343,113423047
Oceania,Micronesia (country),154895,4794,
Europe,Monaco,34050,62,35407
Europe,Montenegro,260336,4416,631490
North America,Montserrat,5173,38,5934
Africa,Morocco,17303431,310126,31951412
Africa,Mozambique,9566559,45995,23390765
Asia,Myanmar,18988522,458269,47963012
Africa,Namibia,155084,5480,2283289
Oceania,Nauru,15289,554,10255
Europe,Netherlands,8971770,27700,16612988
Europe,Netherlands Antilles,227165,416,
Oceania,New Caledonia,257904,472,250870
Oceania,New Zealand,3862054,9286,4368136
North America,Nicaragua,3482653,84415,5788163
Africa,Nigeria,27477112,851493,158423182
Oceania,Niue,1799,4,1468
Oceania,Norfolk Island,2156,68,
Asia,North Korea,17327483,304328,24346229
Oceania,Northern Mariana Islands,106256,219,60917
Europe,Norway,4131679,8403,4883111
Asia,Oman,2597556,4658,2782435
Asia,Pakistan,14581952,480493,173593383
Oceania,Palau,23446,716,20472
Asia,Palestine,3045258,5599,
North America,Panama,3249531,34388,3516820
Oceania,Papua New Guinea,2747514,89835,6858266
South America,Peru,13765608,194453,29076512
Asia,Philippines,83446862,1883659,93260798
Europe,Poland,3272933,15703,38276660
Europe,Portugal,8507951,16402,10675572
North America,Puerto Rico,4249848,16517,3749009
Asia,Qatar,653007,758,1758793
Africa,Reunion,809426,847,846068
Europe,Romania,875170,3610,21486371
Europe,Russia,10812537,80759,142958164
Africa,Saint Helena,6839,96,4118
North America,Saint Kitts and Nevis,36102,715,52402
North America,Saint Lucia,163227,6709,174267
North America,Saint Pierre and Miquelon,5888,11,
North America,Saint Vincent and the Grenadines,120149,2245,109333
Oceania,Samoa,168025,5122,183081
Africa,Sao Tome and Principe,163740,5081,165397
Asia,Saudi Arabia,3593471,20552,27448086
Africa,Senegal,8125063,254770,12433728
Africa,Seychelles,91361,4619,86518
Africa,Sierra Leone,2887017,36408,5867536
Asia,Singapore,4492494,6472,5086418
Asia,Sint Maarten (Dutch part),37429,70,
